Method,Path,QueryString,Body,UserNum,RemoteAddr,StatusCode,TimeStamp,SessionName,RoleName
POST,/,CreateTemporaryAccessCredentials,"Action: CreateTemporaryAccessCredentials  Account: pyoryo910@bangban.uk  Password: [REDACTED]  SessionName: console-generated-key  ",100,153.246.212.122,200,2026-04-01T14:12:13.136685271Z,console-generated-key, 
GET,/v1/account/attribute/RegionURLs,,,100,153.246.212.122,200,2026-04-01T14:12:15.618113333Z,console-generated-key, 
POST,/,ProtectedUpdateAccount,"Action: ProtectedUpdateAccount  ",100,153.246.212.122,200,2026-04-01T14:12:15.666898073Z,console-generated-key, 
GET,/v1/account/navigation-policy-permissions,permissionsToFetch=login,"permissionsToFetch: login  ",100,153.246.212.122,200,2026-04-01T14:12:17.091824851Z,console-generated-key, 
GET,/v1/account-attributes,,,100,153.246.212.122,200,2026-04-01T14:12:17.066816349Z,console-generated-key, 
GET,/v1/is-sso-enabled,,,100,153.246.212.122,200,2026-04-01T14:12:17.255762396Z,console-generated-key, 
GET,/v2/flags,,,100,153.246.212.122,200,2026-04-01T14:12:17.138338414Z,console-generated-key, 
GET,/v1/account/security-contacts,,,100,153.246.212.122,200,2026-04-01T14:12:17.11558424Z,console-generated-key, 
GET,/v1/account/user-language-preference,,,100,153.246.212.122,200,2026-04-01T14:12:18.238276074Z,console-generated-key, 
GET,/v1/get-current-region,,,100,153.246.212.122,200,2026-04-01T14:12:18.274316011Z,console-generated-key, 
GET,/v1/account/account-plan,,,100,153.246.212.122,200,2026-04-01T14:12:18.209508308Z,console-generated-key, 
GET,/v1/account/navigation-policy-permissions,permissionsToFetch=bucket,"permissionsToFetch: bucket  ",100,153.246.212.122,200,2026-04-01T14:12:18.397430227Z,console-generated-key, 
GET,/v2/dashboard/utilization,,,100,153.246.212.122,200,2026-04-01T14:12:18.412264646Z,console-generated-key, 
POST,/v1/account/user-language-preference,,"{""LanguagePreference"":""ja""}",100,153.246.212.122,200,2026-04-01T14:12:18.78238547Z,console-generated-key, 
GET,/v2/dashboard/storage-savings,,,100,153.246.212.122,200,2026-04-01T14:12:18.432428532Z,console-generated-key, 
GET,/v2/dashboard/rcs-renewal,,,100,153.246.212.122,200,2026-04-01T14:12:18.953096643Z,console-generated-key, 
GET,/v2/dashboard/rcs-renewal,,,100,153.246.212.122,200,2026-04-01T14:12:18.391336809Z,console-generated-key, 
GET,/v1/account/parent-account-details,,,100,153.246.212.122,200,2026-04-01T14:12:18.234731795Z,console-generated-key, 
GET,/v1/account/attribute/EnableIAMUsersBillingAccess,,,100,153.246.212.122,200,2026-04-01T14:12:18.236211684Z,console-generated-key, 
POST,/,ListVirtualMFADevices,"Action: ListVirtualMFADevices  AssignmentStatus: Assigned  ",100,153.246.212.122,200,2026-04-01T14:12:18.404593818Z,console-generated-key, 
GET,/v2/dashboard/general,,,100,153.246.212.122,200,2026-04-01T14:12:18.436486127Z,console-generated-key, 
POST,/,ListAccessKeysV2,"Action: ListAccessKeysV2  pageNum: 0  pageSize: 25  userName: *  ",100,153.246.212.122,200,2026-04-01T14:12:21.686600215Z,console-generated-key, 
POST,/,DeleteAccessKey,"AccessKeyId: 1TKAV2N1K678RPFZBI9G  UserName: user01  Action: DeleteAccessKey  ",100,153.246.212.122,200,2026-04-01T14:12:26.943574328Z,console-generated-key, 
POST,/,ListAccessKeysV2,"Action: ListAccessKeysV2  pageNum: 0  pageSize: 25  userName: *  ",100,153.246.212.122,200,2026-04-01T14:12:28.304842072Z,console-generated-key, 
POST,/,DeleteAccessKey,"Action: DeleteAccessKey  AccessKeyId: RBFCHJCZESRA84P5M0JD  UserName: admin  ",100,153.246.212.122,200,2026-04-01T14:12:31.539119143Z,console-generated-key, 
POST,/,ListAccessKeysV2,"userName: *  Action: ListAccessKeysV2  pageNum: 0  pageSize: 25  ",100,153.246.212.122,200,2026-04-01T14:12:32.80737113Z,console-generated-key, 
POST,/,DeleteAccessKey,"Action: DeleteAccessKey  AccessKeyId: 5TN9WFQBYYL810G4DC8R  UserName: asdfghjkl  ",100,153.246.212.122,200,2026-04-01T14:12:35.212251013Z,console-generated-key, 
POST,/,ListAccessKeysV2,"userName: *  Action: ListAccessKeysV2  pageNum: 0  pageSize: 25  ",100,153.246.212.122,200,2026-04-01T14:12:36.494341096Z,console-generated-key, 
POST,/,DeleteAccessKey,"UserName: asdfghjkl  Action: DeleteAccessKey  AccessKeyId: P3W0RJIG2L9IFB13VZR5  ",100,153.246.212.122,200,2026-04-01T14:12:39.179414728Z,console-generated-key, 
POST,/,ListAccessKeysV2,"userName: *  Action: ListAccessKeysV2  pageNum: 0  pageSize: 25  ",100,153.246.212.122,200,2026-04-01T14:12:40.489445071Z,console-generated-key, 
POST,/,DeleteAccessKey,"Action: DeleteAccessKey  AccessKeyId: 90L7ADPYWNW35NJSU4S7  UserName: user01  ",100,153.246.212.122,200,2026-04-01T14:12:42.916699113Z,console-generated-key, 
POST,/,ListAccessKeysV2,"pageSize: 25  userName: *  Action: ListAccessKeysV2  pageNum: 0  ",100,153.246.212.122,200,2026-04-01T14:12:44.172688519Z,console-generated-key, 
POST,/,DeleteAccessKey,"Action: DeleteAccessKey  AccessKeyId: 7X4HI95XDBM272JUFPX6  UserName: admin  ",100,153.246.212.122,200,2026-04-01T14:12:46.9586956Z,console-generated-key, 
POST,/,ListAccessKeysV2,"pageSize: 25  userName: *  Action: ListAccessKeysV2  pageNum: 0  ",100,153.246.212.122,200,2026-04-01T14:12:48.28206172Z,console-generated-key, 
POST,/,ListUsers,"Action: ListUsers  MaxItems: 1000  ",100,153.246.212.122,200,2026-04-01T14:12:48.91731557Z,console-generated-key, 
POST,/,CreateAccessKey,"Action: CreateAccessKey  UserName: admin  ",100,153.246.212.122,200,2026-04-01T14:12:53.935719627Z,console-generated-key, 
POST,/,ListUsers,"Action: ListUsers  MaxItems: 1000  ",100,153.246.212.122,200,2026-04-01T14:12:55.275220771Z,console-generated-key, 
